id,title,price,category,keywords,short_desc,full_desc,images_links,images_names
1830,لعبة رمال الشاطئ,5.75,ألعاب,لعبة، ألعاب، لعبة اطفال، ألعاب أطفال,لعبة عدة الحفر على رمال الشاطئ,"لعبة أطفال بلاستيكية
المرحلة العمرية المناسبة (2-8 سنوات)
يتم تنظيفها بالمسح
خفيفة الوزن وسهلة الحمل",https://smartshopping.sa/web/image/product.product/1830/image_1024,product_product_1830_image_1024.png
1831,لعبة قطار مع المسار,5.75,ألعاب,لعبة، ألعاب، لعبة اطفال، ألعاب أطفال,لعبة قطار صغير تأتي مع المسار,"لعبة أطفال بلاستيكية
المرحلة العمرية المناسبة (2-8 سنوات)
يتم تنظيفها بالمسح
خفيفة الوزن وسهلة الحمل",https://smartshopping.sa/web/image/product.product/1831/image_1024,product_product_1831_image_1024.png
1832,لعبة مطبخ,5.75,ألعاب,لعبة، ألعاب، لعبة اطفال، ألعاب أطفال,لعبة على شكل مطبخ بأدواته,"لعبة أطفال بلاستيكية
المرحلة العمرية المناسبة (2-8 سنوات)
يتم تنظيفها بالمسح
خفيفة الوزن وسهلة الحمل",https://smartshopping.sa/web/image/product.product/1832/image_1024,product_product_1832_image_1024.png
1730,سائل غسيل الصحون بريل بالليمون 1.5 لتر,11.5,الكماليات,جل صحون، سائل صحون، بريل,صابون سائل لغسيل الصحون من بريل مزيل للدهون,"يقضي على الدهون تماماً (دهون الطعام)
يبقي الأطباق لامعة ونظيفة
قوة رهيبة تُزيل جميع البقع والشحوم
تركيبة مركزة ورغوة تدوم طويلاً لقوة تنظيف أكبر
جيد للأطباق اليومية: من الكؤوس إلى القدور والقلايات",https://smartshopping.sa/web/image/product.product/1730/image_1024,product_product_1730_image_1024.png
1731,سائل غسيل الصحون بريل ليمون 1 لتر,11.5,الكماليات,جل صحون، سائل صحون، بريل,صابون سائل لغسيل الصحون من بريل مزيل للدهون برائحة الليمون المنعشة,"يقضي على الدهون تماماً (دهون الطعام)
يبقي الأطباق لامعة ونظيفة
قوة رهيبة تُزيل جميع البقع والشحوم
تركيبة مركزة ورغوة تدوم طويلاً لقوة تنظيف أكبر
جيد للأطباق اليومية: من الكؤوس إلى القدور والقلايات",https://smartshopping.sa/web/image/product.product/1731/image_1024,product_product_1731_image_1024.png
1732,سائل غسيل الصحون داك بالليمون 1 لتر,11.5,الكماليات,جل صحون، سائل صحون، بريل,صابون سائل لغسيل الصحون من داك مزيل للدهون,"يقضي على الدهون تماماً (دهون الطعام)
يبقي الأطباق لامعة ونظيفة
قوة رهيبة تُزيل جميع البقع والشحوم
تركيبة مركزة ورغوة تدوم طويلاً لقوة تنظيف أكبر
جيد للأطباق اليومية: من الكؤوس إلى القدور والقلايات",https://smartshopping.sa/web/image/product.product/1732/image_1024,product_product_1732_image_1024.png
1734,سلك اسفنج موج كبير 9 قطع,11.5,الكماليات,سلك اواني، مطبخ، أدوات نظافة، اسفنج موج,مثالية لمهام التنظيف الصعبة فهي تزيل آثار الطعام المحترق العالق في المقالي وعلى المشاوي وأدوات المطبخ,"اسفنجات تنظيف موج 9 قطع
مصنوعه من مواد ذات جودة عالية
مبتكرة وتدوم طويلا
مقاوم للبكتريا
تقضي على الروائح الكريهة",https://smartshopping.sa/web/image/product.product/1734/image_1024,product_product_1734_image_1024.png
1729,سائل غسيل الصحون بريل ازرق 1 لتر,11.5,الكماليات,جل صحون، سائل صحون، بريل,صابون سائل لغسيل الصحون من بريل مزيل للدهون,"يقضي على الدهون تماماً (دهون الطعام)
يبقي الأطباق لامعة ونظيفة
قوة رهيبة تُزيل جميع البقع والشحوم
تركيبة مركزة ورغوة تدوم طويلاً لقوة تنظيف أكبر
جيد للأطباق اليومية: من الكؤوس إلى القدور والقلايات",https://smartshopping.sa/web/image/product.product/1729/image_1024,product_product_1729_image_1024.png
1870,معطر جو كوتاج - شمام 300 مل,5.75,الكماليات,معطر جو، ملطف جو,معطر جو بانتعاش الشمام,"معطر جو منزلي متعدد الإستخدامات
يعطي رائحة زكية للمكان
ينقي الجو ويجلب للمكان نفحات من الإنتعاش",https://smartshopping.sa/web/image/product.product/1870/image_1024,product_product_1870_image_1024.png
1721,حفاضات اطفال بيبي جوي مضغوطة مقاس 5 كبير جداً,11.5,الكماليات,حفاضات، بيبي جوي، حفاظة أطفال,حفائض بيبي جوي مضغوطة عبوة التوفير مقاس كبير جدا 14-25  كيلو عدد 9 حفائض,"يمتص البلل اكثر طوال الليل الى غاية 12 ساعة ويبقي طفلك جافا حتى الصباح
خاصية التنفس الفريدة
حشوة ماسية مضغوطة
ملمس قطني
ملائمة مثالية",https://smartshopping.sa/web/image/product.product/1721/image_1024,product_product_1721_image_1024.png
1862,معجون تنظيف العملاق  ابيض 750 جرام,5.75,الكماليات,معجون العملاق،  منظف العملاق,سوبر جل معجون تنظيف الاواني الاصلي من العملاق ,"مثالي لتنظيف الأواني الصلبة وتتخلص من كل أنواع بقع أواني الطهي والمقالي ، خاصةً المصنوعة من الفولاذ المقاوم للصدأ والألمنيوم
يبقي الأطباق لامعة ونظيفة
قوة رهيبة تُزيل جميع البقع والشحوم
تركيبة مركزة ورغوة تدوم طويلاً لقوة تنظيف أكبر",https://smartshopping.sa/web/image/product.product/1862/image_1024,product_product_1862_image_1024.png
