title,mpn,price,price_old,brand,category,images_links,الموديل,كود المنتج,العلامة التجارية,الاصدار,اللون,السعر,images_names
فرن جليم غاز 59.7سم كهرباء 5 وظائف استيل FE52XF,FE52XF,2334.99,2334.99,glemgas,الأجهزة المنزلية > افران,"https://almanea.sa//Up/Product/Large/3c578726-bd08-4ee1-a355-db37f455fb46.Jpeg
https://almanea.sa//Up/Product/Large/74a7d6e4-1e41-479a-aaa3-438037bd4e29.Jpeg",FE52XF,0744020315,جليم جاز,FE52XF,ستيل,2148,"full/2782807b982a1484a8c88a1f004e8d0a500008f6.jpg
full/dfede82eceba5708cc84a7983bb0efb46775a8ba.jpg"
موقد جليم غاز بلت ان 86 سم 5 عيون غاز P9LV5I,P9LV5I,2472.99,2472.99,glemgas,الأجهزة المنزلية > افران,"https://almanea.sa//Up/Product/Large/443bf94a-d11e-4aea-988c-76af32fd5d19.Jpeg
https://almanea.sa//Up/Product/Large/0b11a2d8-1def-412d-9291-0f219d01e8c8.Jpeg",P9LV5I,0744020200,جليم جاز,P9LV5I,ستيل,2275,"full/ead6998386e2611f8c810e7ce218fdd4d2c5a34b.jpg
full/b47b9214f48954ae98338b2eb4b21a088dcd4704.jpg"
ثلاجة دايو 4.032 قدم ابيض FR15A,FR15A,880,,daewoo,الأجهزة المنزلية > ثلاجات,"https://almanea.sa//Up/Product/Large/a2e90405-8011-4340-9891-a30a49d5151f.jpg
https://almanea.sa//Up/Product/Large/2f01b125-35dd-43ba-a29e-639c83c912c4.jpg",FR15A,0203220035,دايو,FR15A,ابيض,880,"full/03a89ab84a0a408683495f4e74d3b8f3c55d3fd2.jpg
full/29fb28a87f0ec1e35f8d337dd8e47b3565245218.jpg"
شفاط تيرم هرمي 89.8 سم إيطالي استيل TRHO90PYS,TRHO90PYS,1500,1500,Terim,الأجهزة المنزلية > افران,"https://almanea.sa//Up/Product/Large/9db303de-251e-44b9-be0d-fa90dd77b822.Jpeg
https://almanea.sa//Up/Product/Large/31393062-fac1-412b-8bb6-a89de8d59b49.Jpeg
https://almanea.sa//Up/Product/Large/17e7a881-d892-400f-90aa-cc1bb1511281.Jpeg",TRHO90PYS,2308810040,تيرم,TRHO90PYS,ستيل,1199,"full/cefdfd2e5e7757bc9a024d557ee94c97d8f51256.jpg
full/a941e78eb9ddd0ed44ab13e39817adda1e852ab6.jpg
full/a9979f43229a17de4d7e66e9e8a4f983518ac87e.jpg"
ثلاجة LG بابين 20.9 قدم ابيض LT22CBBWLN,LT22CBBWLN,7399,7399,lg,الأجهزة المنزلية > ثلاجات,"https://almanea.sa//Up/Product/Large/da3a6b18-60bb-485c-aec5-7dcd8eda7ef9.Jpeg
https://almanea.sa//Up/Product/Large/ab69c0bd-7a71-44da-a764-f48ec5f5fa29.Jpeg
https://almanea.sa//Up/Product/Large/0e7d5576-67bc-47ca-9d9b-aec96626fc34.Jpeg
https://almanea.sa//Up/Product/Large/fe2a6739-81b3-4984-b2c3-99afe867d473.Jpeg
https://almanea.sa//Up/Product/Large/eaa43278-8c34-4451-84b1-0cb6297cc5c6.Jpeg
https://almanea.sa//Up/Product/Large/776df67a-6922-4154-9148-3125036de189.Jpeg
https://almanea.sa//Up/Product/Large/0361344d-f644-4f4a-b106-a3e2fd685408.Jpeg
https://almanea.sa//Up/Product/Large/03d3b99b-bd17-440d-9dc6-277fa2aa9391.Jpeg
https://almanea.sa//Up/Product/Large/6dab1aa9-f5cc-47ff-a113-c8bbd9b3d11d.Jpeg
https://almanea.sa//Up/Product/Large/1f7df4ed-3171-4300-a5af-931b79852196.Jpeg
https://almanea.sa//Up/Product/Large/b566beca-430c-4733-a4ea-6bb1a59e60ca.Jpeg
https://almanea.sa//Up/Product/Large/024ed7f1-50f1-422e-bfb2-aff0889d5472.Jpeg",LT22CBBWLN,0202225440,إل جي,LT22CBBWLN,ابيض,3898.99,"full/b7cd8bfe0ce3f6a4e480c88715b67221d6f4ae22.jpg
full/7cafeab46c14965f28f1ef83957cc0de561f73fc.jpg
full/134f5476ab3a158cdc1347640b57696a8f15d4c5.jpg
full/ae929c810adb1ba93077cea9b1c3894b945253c2.jpg
full/f87d7a352c4f773cf25b593d667a911d135cb48e.jpg
full/914e9ae00c4ae18c92b54e41083ced463d0e8380.jpg
full/39e86442dad50ad25d93698c0c6541dd3005dd25.jpg
full/78d6eb079067c2676575532a72526df5ad50df09.jpg
full/99109afd4919cc6857c5fc2bd18912cb33335fd7.jpg
full/ce8baaf7cfe5592b102ab3d8bd18e65118a9a6c1.jpg
full/57943a224fc2f044075fedc660796e9b5b27ed4c.jpg
full/a62636198424031c2051c6e192dd860df31e9017.jpg"
غسالة صحون اريستون 10 برامج فضي 15 مكان LFO 3P31 WL X 60HZ,LFO 3P31 WL X 60HZ,3208.99,,Ariston,الأجهزة المنزلية > غسالات الصحون,https://almanea.sa//Up/Product/Large/aee6ccfa-ba3d-4e24-a84e-366181288e76.Jpeg,LFO 3P31 WL X 60HZ,1605622141,أريستون,LFO 3P31 WL X 60HZ,فضى,3208.99,full/ecc96883cefefab77ca8c999affbe647f8d302a4.jpg
فرن كهربائي LG سمارت سعة 6.3 قدم مكعب مزود بتقنية ®True Convection InstaView والقلي الصحي LREL6325D,LREL6325D,8999,8999,lg,الأجهزة المنزلية > افران,"https://almanea.sa//Up/Product/Large/8b41d998-34c1-4867-972f-27c54afda78a.Jpeg
https://almanea.sa//Up/Product/Large/f29e31fd-76c4-4335-9402-2aba4130d879.Jpeg
https://almanea.sa//Up/Product/Large/9f5fcf9c-df14-4ad6-966a-32b5e5c602e8.Jpeg
https://almanea.sa//Up/Product/Large/d71c1f46-4cfc-487f-9d2c-33bff8ca76b4.Jpeg
https://almanea.sa//Up/Product/Large/b79017de-f8a3-43e9-932f-223c9774bc35.Jpeg
https://almanea.sa//Up/Product/Large/a3825111-557f-4705-927d-bc33d087788b.Jpeg
https://almanea.sa//Up/Product/Large/af09db84-d2a3-4714-8994-485ce2239d14.Jpeg
https://almanea.sa//Up/Product/Large/c7c610d0-52ae-466a-ad0f-610cf7f96fbf.Jpeg
https://almanea.sa//Up/Product/Large/ac257518-4898-4cee-92ed-ffb3ada20c2e.Jpeg
https://almanea.sa//Up/Product/Large/8bcef0cd-3a22-4695-abd4-31ca133e2931.Jpeg
https://almanea.sa//Up/Product/Large/92a5ad93-7f44-4040-b5a9-528ba8141c18.Jpeg
https://almanea.sa//Up/Product/Large/7a0d0ac4-b281-4dad-95ee-c91f9814778d.Jpeg
https://almanea.sa//Up/Product/Large/b4f19b1d-5715-43ba-975e-11382707f1b5.Jpeg",LREL6325D,0702233045,إل جي,LREL6325D,اسود,5799,"full/0924a3795ae24e4d40e67fe893775d0cb081c500.jpg
full/149a4c38b477e46e6530394fa0252e1bd381d95d.jpg
full/0921c672b1ac2574ef7dfa5866524b97a062df9c.jpg
full/6a818b3c4699cb7ffd4c61beab60b3578f45a279.jpg
full/681b556dd396596c73c2e7445c02788d16d4f60f.jpg
full/ca14332d31c6b721d74a47cf21d0d2d83314e0b5.jpg
full/2babe68e468db30093164ab84ae6980c86778a5b.jpg
full/8e18b5777f9433fa970212ef7bf48682dc4abb49.jpg
full/e5aa848ed9b9cd21e9a0b46f994c38b76eac569a.jpg
full/fcb1fa4cedec001b7a80977447e647497d23178c.jpg
full/fdeede1b96e164914efa77f1d42370e8964bd798.jpg
full/9c14c91c0a4c3acd1671550eba6d5d08ad9a446e.jpg
full/c7626141a4ddc2fd6776d381910649a5762527ac.jpg"
غسالة LG اتوماتيك امامية 15 ك ابيض تنشيف 100% WS1508WHT,WS1508WHT,8649,8649,lg,الأجهزة المنزلية > غسالات الملابس,"https://almanea.sa//Up/Product/Large/adb5cbc2-8e14-48be-bfc1-686a8787d986.Jpeg
https://almanea.sa//Up/Product/Large/9039ad91-e1cd-44cb-87c0-80a802b0ad14.Jpeg",WS1508WHT,1402228066,إل جي,WS1508WHT,ابيض,4699,"full/889ff3a5582c4f28d72c3d7cc1f9f39bed2ebae5.jpg
full/913032788d736339615c326106e3b4fca5879a23.jpg"
ثلاجة هيتاشي بابين 19.4 قدم ابيض R-V700PS7K TWH,R-V700PS7K TWH,4735,4735,hitachi,الأجهزة المنزلية > ثلاجات,"https://almanea.sa//Up/Product/Large/d8fc6e01-8d47-41bd-bc6c-077213096537.jpg
https://almanea.sa//Up/Product/Large/e1447bf8-891a-4368-9a59-e966217270d7.Jpeg",R-V700PS7K TWH,0214223065,هيتاشى,R-V700PS7K TWH,ابيض,3823,"full/1ec6db06599ddb0b4d5979df9242c619cb2de440.jpg
full/89aa75fc5dbccf14b9603cfe45f1317f0eac8b33.jpg"
غسالة صحون هام أبيض 12 مكان 4 برامج HMDW1204W20,HMDW1204W20,2100,2100,haam,الأجهزة المنزلية > غسالات الصحون,https://almanea.sa//Up/Product/Large/aaf567e8-86e6-49dd-87eb-1bdea83f7d5b.Jpeg,HMDW1204W20,1608122010,هام,HMDW1204W20,ابيض,1299.01,full/df36a7fafb05bddc02a843bf8dc41c2b093823aa.jpg
